id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,location_cluster,bathroom_map,amenities_count,host_verifications_count,sentiment,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
32013222,92.17744498,0,1,1,1,0,3,2,1,1,80,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1.385634384,1,7,16,2,0.794546533,4.583465708,4.709807726,4.542685966,4.776509015,4.788073756,4.681907104,4.533168156
32013644,92.22254154,0,2,2,1,1,3,1,1,1,45,3,7,1,0,0,0,0,18,0,0,1,2,0,2,0,0.41,5,5,7,2,0.78385,4.78,5,4.78,4.94,5,4.83,4.94
32035337,78.90890946,0,2,3,1,0,3,2,1.022858047,1,30,2,3,1,0,0,0,0,2,0,0,1,2,0,2,0,0.05,5,5,6,2,0.9184,3.5,3.5,3.5,5,5,4.5,3.5
32041497,92.17744498,0,2,2,1,1,3,2,1,1,110,3,15,1,0,0,0,0,0,0,0,0,2,1,1,0,1.385634384,5,5,28,2,0.794546533,4.583465708,4.709807726,4.542685966,4.776509015,4.788073756,4.681907104,4.533168156
32045696,97.99744743,0,1,1,1,0,4,6,4,3,150,2,60,1,0,0,0,0,7,0,0,1,1,1,0,0,0.16,3,6,45,2,0.94452,5,5,5,5,5,4.86,4.71
32103647,92.61952097,0,1,1,1,1,3,5,2,2,100,2,6,1,0,0,0,0,0,0,0,1,1,0,1,0,1.143183879,1,9,17,2,0.794546533,4.603762612,4.71164918,4.544698048,4.778125059,4.792877749,4.701990697,4.544695969
32104217,96.95034217,0,2,2,1,1,4,6,4,4,170,7,1125,1,0,0,0,0,4,1,0,0,2,2,0,0,0.1,4,13,19,2,0.49668,5,5,5,5,5,5,5
32106627,92.17744498,0,2,2,1,1,3,2,1,1,170,3,1125,1,0,0,0,0,0,0,0,1,2,0,2,0,1.385634384,1,7,13,2,0.794546533,4.583465708,4.709807726,4.542685966,4.776509015,4.788073756,4.681907104,4.533168156
32107713,100,1,4,4,1,1,4,2,1,1,65,14,1125,1,0,2,13,26,132,29,1,0,4,4,0,0,3.04,5,6,16,2,0.86577,4.89,4.92,4.86,4.94,4.97,4.8,4.83
32120160,20,0,5,127,1,1,3,1,1,1,40,3,1125,1,0,0,0,22,7,1,0,1,5,0,5,0,0.16,1,7,11,2,0.51654,4.57,4.71,4,4.86,4.71,4.43,4.29
32120384,20,0,5,127,1,1,3,1,1,1,40,3,1125,1,0,0,0,22,7,1,0,1,5,0,5,0,0.16,1,7,11,2,0.59992,4.29,4.43,4.29,4.86,4.43,4.57,4
32120667,20,0,5,127,1,1,3,1,1,1,40,3,1125,1,0,0,0,22,12,0,0,1,5,0,5,0,0.28,1,5,11,2,0.72105,4.75,5,4.67,4.83,5,4.67,4.67
32120940,20,0,5,127,1,1,3,1,1,1,40,3,1125,1,0,0,0,22,5,2,0,1,5,0,5,0,0.12,1,7,11,2,0.54055,4.6,4.8,4.4,4.8,4.8,4.6,4.4
32121138,20,0,5,127,1,1,3,1,1,1,40,3,1125,1,0,0,0,22,7,2,0,1,5,0,5,0,0.17,1,7,11,2,0.65304,4.71,4.71,4.57,4.86,4.71,4.57,4.57
32128974,100,0,2,2,1,0,3,2,2,2,45,2,1125,1,0,0,0,0,0,0,0,0,2,1,1,0,1.335869368,5,10,13,1,0.794546533,4.868052258,4.87734468,4.816024266,4.896710671,4.922909103,4.797880658,4.741574346
32129766,92.61952097,0,1,2,1,0,4,4,2,2,75,7,14,1,0,0,0,0,0,0,0,0,1,1,0,0,1.143183879,7,11,9,2,0.794546533,4.603762612,4.71164918,4.544698048,4.778125059,4.792877749,4.701990697,4.544695969
32164142,99,0,55,137,1,1,4,6,2,3,235,14,56,1,13,43,73,133,75,15,1,0,55,55,0,0,1.73,5,11,34,2,0.8509,4.84,4.85,4.75,4.88,4.77,4.91,4.73
32164211,91.15405557,0,4,4,1,1,3,1,1,1,28,1,1125,1,0,0,0,0,18,0,0,1,4,0,4,0,0.42,6,5,25,3,0.58203,4.44,4.67,4.83,4.78,4.61,4.33,4.5
32164744,99,0,55,137,1,1,4,4,1,2,203,14,1125,1,2,8,38,39,71,10,1,0,55,55,0,0,1.64,5,6,34,2,0.86327,4.8,4.9,4.79,4.93,4.77,4.82,4.76
32177750,100,0,2,2,1,1,4,4,2,3,500,2,1125,1,0,0,0,0,25,0,0,0,2,2,0,0,0.58,1,6,23,2,0.76724,4.83,4.88,4.88,4.71,4.83,4.96,4.58
32182888,100.5322803,0,1,2,1,0,4,6,2,3,130,3,30,1,0,0,0,0,3,0,0,1,1,1,0,0,0.07,7,13,27,2,0.84497,5,4.33,5,5,5,4.67,5
32199749,92.61952097,0,1,1,1,0,4,4,2,2,300,3,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1.143183879,1,6,13,2,0.794546533,4.603762612,4.71164918,4.544698048,4.778125059,4.792877749,4.701990697,4.544695969
32213341,81.08043321,0,1,2,1,0,4,2,1,1,43,1,15,1,0,0,0,0,13,0,0,1,1,1,0,0,0.31,5,6,19,2,0.65619,4,4.23,3.69,4.62,5,4.69,4.69
32231093,93.56875578,0,2,2,1,0,4,4,2,2,100,4,1125,1,0,0,0,0,2,0,0,0,1,1,0,0,0.05,5,6,14,2,0.7811,5,5,4.5,5,5,5,5
32257938,97.21204517,0,1,1,1,0,3,2,1,1,90,2,1125,1,0,0,0,0,23,0,0,0,1,0,1,0,0.54,5,7,30,2,0.9447,5,5,5,4.96,5,4.91,4.78
32278580,96.57335538,0,1,2,1,0,4,6,3,3,600,7,90,1,19,44,69,326,4,0,0,0,1,1,0,0,0.11,6,9,33,2,0.9602,5,5,5,5,5,5,5
32281193,94.43644152,0,2,2,1,1,3,2,1,3,52,1,2,1,0,0,0,0,12,0,0,0,1,0,1,0,0.32,0,5,20,2,0.90137,4.83,5,5,5,5,4.75,4.92
32285775,100,1,1,2,1,1,4,6,4,5,190,14,365,1,0,0,0,0,18,5,0,0,1,1,0,0,0.42,1,11,30,2,0.82695,4.89,4.89,4.78,4.89,4.67,4.67,4.5
32287368,87.8349867,0,1,1,1,1,4,2,1,1,75,5,1125,1,0,0,0,0,15,2,0,0,1,1,0,0,0.38,7,6,32,2,0.84282,4.4,4.53,4.13,4.8,4.67,4.47,4.4
32307775,100,0,32,41,1,1,3,7,3,6,719,2,1125,1,2,9,22,186,36,21,0,1,31,30,1,0,0.86,1,11,33,2,0.7927,4.56,4.58,4.72,4.47,4.64,4.94,4.67
32312147,95.86116403,0,1,1,1,1,3,2,1,1,40,1,1125,1,0,0,0,0,6,0,0,0,1,0,1,0,0.17,5,5,25,2,0.71778,4.83,4.67,5,5,5,4.83,4.83
32354518,102.3450049,0,1,2,1,1,4,5,2,3,120,3,365,1,0,0,0,0,2,0,0,0,1,1,0,0,0.05,5,6,8,2,0.61425,5,5,4.5,3,5,5,5
32359424,100,0,1,3,1,0,3,2,1,2,50,1,7,1,0,0,0,128,22,1,0,0,1,0,1,0,0.52,4,5,13,2,0.91754,4.86,4.77,4.82,5,5,4.86,4.91
32360069,100,1,1,5,1,0,4,12,4,7,814,1,1125,1,6,6,6,6,20,13,0,1,1,1,0,0,0.51,5,13,44,2,0.89389,5,5,4.95,4.9,4.95,4.95,4.9
32360203,96.05631515,0,1,3,1,1,3,2,1,1,20,1,1125,1,0,0,0,0,3,0,0,0,1,0,1,0,0.07,6,5,17,2,0.949,4.67,4.67,5,4.33,4.33,4.33,4.67
32364299,100,0,1,1,1,1,3,2,1,1,135,1,2,1,25,55,85,175,0,0,0,0,1,0,1,0,1.589862682,5,7,24,1,0.794546533,4.863453242,4.885319648,4.830136079,4.902114318,4.925816901,4.783478699,4.741725699
32420553,100,1,1,2,1,1,4,3,1.477825265,1.820253027,104,2,30,1,8,20,35,160,75,27,7,0,1,1,0,0,1.76,5,6,28,2,0.89167,4.85,5,4.99,5,4.99,4.77,4.71
32420757,70.31827542,0,4,4,1,1,3,2,1,1,130,2,4,1,0,0,0,0,2,0,0,1,2,0,2,0,0.05,5,5,11,2,0.39335,3,4,2.5,4.5,4.5,4,2
32421225,105.8524116,0,1,1,1,1,4,7,3,5,100,10,30,1,0,0,0,0,1,0,0,1,1,1,0,0,0.03,7,13,14,3,0.9199,5,4,5,5,5,5,4
32423184,100,0,1,2,1,1,3,2,1,1,103,2,1125,1,7,7,7,7,35,4,1,0,1,0,1,0,0.82,6,7,20,2,0.92829,4.97,4.97,5,5,5,4.74,5
32462470,100,0,1,1,1,1,4,5,2,2,476,1,1125,1,29,34,62,233,48,6,0,1,1,1,0,0,1.12,5,6,22,2,0.62616,4.5,4.73,4.56,4.81,4.69,4.85,4.44
32484252,92.17744498,0,2,3,1,1,3,2,1,1,120,2,1125,1,0,0,0,0,0,0,0,0,2,0,2,0,1.385634384,5,5,31,2,0.794546533,4.583465708,4.709807726,4.542685966,4.776509015,4.788073756,4.681907104,4.533168156
32489761,94.09623919,0,1,4,1,0,4,4,1,2,200,120,1125,1,29,59,89,89,3,0,0,0,1,1,0,0,0.07,1,6,12,2,0.67443,5,5,4.67,5,4.67,4.67,5
32498446,100,0,3,3,1,1,4,4,2,2,221,1,120,1,5,16,36,303,35,21,4,0,2,2,0,0,0.81,1,6,47,2,0.81835,4.6,4.74,4.6,5,5,4.6,4.57
32499291,100,0,1,1,1,1,4,7,4,4,200,3,45,1,2,10,34,110,142,28,1,1,1,1,0,0,3.32,2,13,35,2,0.73696,4.7,4.78,4.77,4.89,4.82,4.69,4.7
32513857,100,0,1,1,1,1,4,2,1,2,260,14,365,1,9,31,31,302,48,5,1,0,1,1,0,0,1.14,1,6,16,2,0.77937,4.63,4.71,4.71,4.6,4.75,4.79,4.38
32515533,75,0,1,1,1,1,4,2,1,1,106,2,30,1,0,0,0,130,27,22,1,0,1,1,0,0,0.63,5,6,34,1,0.7801,4.93,4.96,4.85,4.96,4.89,4.85,4.81
32517484,100,0,1,1,1,0,4,2,1,1,120,2,7,1,0,0,0,21,51,0,0,1,1,1,0,0,1.2,1,6,25,2,0.88396,4.96,4.88,4.96,4.98,4.96,4.96,4.9
32526206,100,1,3,5,1,1,3,1,1,1,55,2,14,1,8,18,41,41,71,39,7,0,3,0,3,0,1.67,2,5,30,1,0.85881,4.94,4.91,4.99,4.99,4.96,4.74,4.94
32533650,100,1,3,5,1,1,3,1,1,1,50,2,14,1,5,19,42,42,9,9,4,0,3,0,3,0,2.93,2,5,46,1,0.84638,5,4.89,5,5,5,4.67,5
32538169,100,0,2,3,1,1,4,4,2,3,199,1,8,1,13,14,26,26,12,7,1,0,2,2,0,0,0.28,4,6,11,2,0.73999,4.33,4.67,3.83,4.83,4.83,4.42,4
32538273,96.29496458,0,1,2,1,0,3,2,1,1,55,2,1125,1,0,0,0,0,24,0,0,0,1,0,1,0,0.56,5,7,20,2,0.8526,5,5,5,5,5,4.91,5
32542146,88.97150414,0,1,1,1,1,4,6,2,3,135,30,1125,1,0,0,0,0,19,0,0,1,1,1,0,0,0.49,5,11,35,2,0.74546,4.67,4.94,4,4.89,5,5,4.5
32549009,92.87605877,0,1,5,1,1,4,4,2,2,170,20,1125,1,0,0,0,0,6,0,0,0,1,1,0,0,0.14,1,11,31,3,0.84588,4.67,4.83,4.83,5,5,5,4.5
32549236,100,0,4,5,1,1,3,2,1.128975874,1,101,15,28,1,7,37,67,68,4,3,0,0,4,1,3,0,0.32,5,5,46,3,0.93202,4.75,4.5,4.75,4.75,5,5,5
32590022,92.17744498,0,1,1,1,0,4,2,1,1,44,1,1125,1,0,0,0,0,0,0,0,1,1,1,0,0,1.385634384,2,6,14,1,0.794546533,4.583465708,4.709807726,4.542685966,4.776509015,4.788073756,4.681907104,4.533168156
32602330,93.9714383,0,1,3,1,0,4,2,1,1,100,3,1125,1,0,0,0,0,8,0,0,0,1,1,0,0,0.19,5,6,11,1,0.90858,4.88,5,4.75,5,5,4.75,4.75
32604722,96.40887898,0,2,2,1,1,4,4,2,3,150,3,1125,1,0,0,0,0,4,0,0,0,2,1,1,0,0.11,1,9,34,2,0.90625,5,5,5,5,5,5,5
32609852,96.81331155,0,2,2,1,1,3,2,1,1,80,1,1125,1,0,0,0,0,5,0,0,0,2,1,1,0,0.12,1,7,15,2,0.85894,5,5,5,5,5,4.8,4.8
32610519,99.77341049,0,1,1,1,1,3,2,1,1,45,2,1125,1,0,0,0,0,2,0,0,0,1,0,1,0,0.05,5,5,9,1,0.7746,5,4.5,4.5,4.5,5,5,4.5
32627008,94.60467809,0,1,1,1,1,4,5,4,4,500,2,1125,1,0,0,0,0,15,0,0,0,1,1,0,0,0.37,1,9,25,2,0.78635,4.86,5,4.86,5,4.93,5,4.86
32634882,92.17744498,0,3,4,1,1,3,2,1,1,33,6,1125,1,0,0,0,0,0,0,0,1,1,0,1,0,1.385634384,1,5,12,2,0.794546533,4.583465708,4.709807726,4.542685966,4.776509015,4.788073756,4.681907104,4.533168156
32637964,95.73333602,0,1,1,1,1,3,2,1,1,149,1,2,1,0,0,0,0,1,0,0,0,1,0,1,0,0.02,1,5,10,2,0.9151,5,5,5,5,5,5,5
32638148,95.73333602,0,1,1,1,1,3,2,1,1,90,1,1125,1,0,0,0,0,1,0,0,1,1,0,1,0,0.02,1,7,13,2,0.784,5,5,5,5,5,5,5
32657191,99.82379469,0,2,4,1,1,4,6,2,3,150,2,11,1,0,0,0,0,2,0,0,0,1,1,0,0,0.05,7,9,18,2,0.4559,5,5,5,5,5,5,4
32662614,79,0,21,59,1,1,4,2,1,1,145,5,1125,1,0,5,25,25,33,1,0,0,12,12,0,0,0.78,5,6,18,2,0.78664,4.58,4.58,4.73,4.7,4.42,4.7,4.3
32667012,95.86147081,0,5,6,1,1,3,2,1,1,28,1,30,1,0,0,0,0,45,0,0,1,4,0,4,0,1.05,5,7,24,3,0.76949,4.76,4.84,4.87,4.67,4.96,4.87,4.62
32677910,100,1,3,3,1,1,3,1,1,1,74,2,60,1,3,14,36,120,73,34,6,0,3,1,2,0,1.79,4,9,40,2,0.83474,4.96,4.99,4.78,5,4.97,4.95,4.97
32679988,74.19803774,0,1,1,1,0,4,2,1,1.786162533,50,1,7,1,0,0,0,0,1,0,0,0,1,1,0,0,0.02,1,6,8,2,0.794546533,2,1,2,5,5,2,1
32686636,92.11731163,0,10,14,1,1,4,4,1,2,124,2,1125,1,0,0,0,0,23,0,0,0,10,10,0,0,0.56,1,6,21,1,0.70979,4.5,4.59,4.73,4.82,4.68,4.86,4.32
32686821,93.02092814,0,10,14,1,1,4,6,2,3,156,2,1125,1,0,0,0,0,26,0,0,0,10,10,0,0,0.65,1,11,22,1,0.8457,4.73,4.88,4.62,4.73,4.88,4.92,4.81
32689673,95,0,3,5,1,1,3,3,1,3,208,1,1125,1,24,54,84,354,11,4,1,0,3,0,3,0,0.26,1,7,19,2,0.77167,4.4,3.9,4.1,4.9,4.8,4.7,4
32690117,88.6932418,0,10,14,1,1,4,6,2,3,156,2,1125,1,0,0,0,0,29,0,0,0,10,10,0,0,0.7,1,6,22,1,0.81357,4.38,4.76,4.72,4.86,4.79,4.93,4.62
32690145,100,0,7,9,1,1,4,2,1,1,48,15,1125,1,7,7,7,174,74,12,2,1,5,5,0,0,1.75,1,6,26,2,0.78099,4.42,4.73,4.34,4.92,4.86,4.72,4.55
